Employee_ID,Age,Gender,Department,Job_Level,Salary,Years_at_Company,Performance_Score,Last_Promotion_Date,Absence_Days,Work_Location
E8412,35,Non-binary,Sales,1,5515,16,4,10/02/2024,12,Hybrid
E7566,40,Non-binary,Engineering,1,7340,1,1,12/06/2021,15,In-office
E9651,35,Female,Sales,2,6669,11,5,20/03/2022,13,Remote
E9028,23,Non-binary,Marketing,1,4626,14,2,29/04/2024,1,In-office
E4336,35,Female,Marketing,3,5919,10,3,18/04/2021,9,In-office
E7963,24,Male,Marketing,2,5170,4,1,30/03/2022,2,Hybrid
E5533,53,Male,Marketing,1,6619,2,2,14/11/2021,4,Remote
E4647,52,Male,HR,2,4617,3,4,17/06/2022,2,In-office
E6760,34,Female,Marketing,2,6529,1,4,12/02/2021,3,In-office
E6947,41,Female,Engineering,3,3100,10,4,15/02/2022,0,Remote
E4367,28,Female,Marketing,2,5461,3,4,11/03/2021,10,Remote
E1596,57,Female,HR,1,4190,15,2,18/06/2023,0,Remote
E8615,44,Female,Marketing,2,3527,13,3,26/12/2021,5,Remote
E6807,60,Female,Engineering,3,4363,9,4,31/10/2024,15,Remote
E6238,25,Non-binary,Engineering,1,5761,4,2,8/10/2020,15,Hybrid
E8785,35,Non-binary,Marketing,1,3717,15,4,16/09/2024,11,Remote
E1578,39,Non-binary,Marketing,1,3437,9,3,8/11/2022,0,Remote
E4001,26,Non-binary,HR,3,7860,16,3,1/04/2023,13,Remote
E1404,23,Male,Marketing,1,6496,10,5,15/06/2021,14,Remote
E4906,43,Non-binary,Marketing,3,5673,4,3,18/05/2022,1,Remote
E7857,24,Female,Sales,3,5521,6,2,11/01/2025,2,Hybrid
E7188,57,Female,HR,2,4068,20,5,4/05/2023,5,In-office
E8908,52,Male,Marketing,2,3130,6,2,6/07/2024,14,In-office
E2573,47,Non-binary,Marketing,2,3140,2,4,26/11/2024,15,Hybrid
E5474,40,Male,Sales,1,3393,8,5,28/01/2025,8,In-office
E3248,47,Non-binary,Engineering,2,8853,20,3,19/06/2023,6,In-office
E2431,38,Male,Sales,1,8153,16,2,17/04/2023,7,In-office
E1906,29,Non-binary,Engineering,3,6470,19,5,11/07/2023,5,In-office
E6639,25,Female,HR,3,7694,7,2,22/04/2021,9,In-office
E8712,38,Non-binary,Marketing,2,3149,3,1,28/10/2020,5,Remote
E7743,35,Male,Engineering,3,8156,17,4,10/01/2023,9,In-office
E1026,57,Female,Engineering,3,7564,20,1,3/03/2021,3,Hybrid
E4953,39,Non-binary,HR,3,8689,4,4,11/11/2023,11,In-office
E5612,47,Female,HR,3,7662,15,2,27/12/2021,10,In-office
E5073,56,Non-binary,Sales,3,3574,12,1,27/08/2022,14,Remote
E4941,45,Female,Sales,1,7240,1,3,24/05/2020,7,Hybrid
E8162,54,Male,HR,2,4660,20,1,5/04/2024,11,Hybrid
E9798,41,Female,HR,1,8520,18,1,25/07/2021,10,Remote
E2928,34,Non-binary,Engineering,3,7366,18,3,10/07/2020,4,In-office
E1176,55,Male,HR,2,4097,4,4,20/08/2024,15,Hybrid
E6290,34,Female,HR,3,6610,8,3,5/02/2025,6,Remote
E9292,59,Non-binary,Sales,2,5154,10,1,12/04/2023,12,Remote
E8328,52,Female,Engineering,2,7503,7,2,18/07/2021,13,Hybrid
E5897,33,Female,Sales,3,7410,5,1,21/07/2023,2,Remote
E1612,45,Male,Engineering,1,4457,11,4,16/05/2023,14,In-office
E8727,35,Female,Marketing,3,5318,12,2,3/09/2024,13,In-office
E3254,25,Non-binary,Sales,2,5244,7,1,28/01/2020,3,Remote
E4085,26,Non-binary,Marketing,3,5252,15,5,9/11/2022,2,Hybrid
E8813,25,Non-binary,HR,2,4546,17,5,19/07/2022,7,In-office
E3432,52,Non-binary,Sales,1,4317,5,2,21/11/2021,14,Hybrid
E7751,50,Male,Marketing,3,6889,7,2,9/05/2024,4,Remote
E8022,39,Male,HR,2,8495,9,1,22/10/2021,1,Hybrid
E4305,52,Non-binary,Sales,1,6771,15,1,7/11/2024,13,Hybrid
E7894,53,Male,Marketing,1,4373,18,2,12/02/2022,8,Hybrid
E8877,52,Female,Engineering,1,3920,14,1,15/12/2020,5,Remote
E4136,48,Male,Sales,2,3756,14,3,12/09/2024,10,In-office
E9531,26,Female,Sales,1,4324,13,1,17/06/2024,3,Hybrid
E2049,52,Female,Engineering,3,8875,16,1,1/04/2023,7,Hybrid
E8458,38,Male,Engineering,1,3917,2,1,11/10/2023,9,Hybrid
E3222,22,Male,Engineering,3,4433,4,1,1/03/2022,14,In-office
E4513,50,Male,Marketing,2,7585,2,1,11/07/2020,1,Hybrid
E3394,39,Non-binary,Sales,1,6202,12,3,13/09/2021,10,In-office
E5510,53,Non-binary,Marketing,3,3724,10,1,21/11/2020,4,In-office
E2971,42,Male,Engineering,2,8050,4,1,7/06/2020,0,Hybrid
E5351,23,Non-binary,Sales,3,4016,4,1,27/08/2022,6,In-office
E3811,33,Male,HR,1,3799,12,1,25/10/2023,15,Remote
E1813,28,Male,Engineering,2,4771,5,4,12/10/2020,4,Remote
E9630,38,Non-binary,HR,1,6639,19,4,27/09/2022,9,Hybrid
E6909,40,Female,Sales,1,6166,20,2,26/07/2024,10,Hybrid
E3753,50,Male,Marketing,1,8233,16,2,7/06/2020,9,Hybrid
E1813,27,Non-binary,Marketing,1,5633,1,3,23/10/2023,5,Hybrid
E2387,36,Male,HR,3,5011,7,3,20/02/2020,1,Remote
E8838,43,Non-binary,HR,2,3621,2,4,9/01/2023,10,In-office
E3840,40,Female,Sales,1,5799,4,3,26/06/2020,9,Remote
E9312,45,Non-binary,Marketing,3,6676,16,5,5/11/2021,8,In-office
E5665,29,Female,HR,1,8747,19,2,10/02/2020,1,Hybrid
E5082,26,Non-binary,Engineering,1,7601,4,1,13/02/2020,0,Remote
E3093,42,Male,Sales,3,6041,9,2,12/01/2021,9,Remote
E3757,27,Male,Sales,1,6430,2,2,23/05/2022,14,Remote
E6701,57,Male,Marketing,2,5281,3,2,1/01/2025,13,In-office
E9704,56,Male,HR,2,5582,2,3,3/07/2020,11,Remote
E6491,40,Non-binary,Marketing,1,3360,18,1,20/12/2021,15,Hybrid
E2945,35,Non-binary,Engineering,2,7495,5,4,28/10/2024,8,Hybrid
E1510,24,Female,Marketing,1,6284,18,4,6/06/2023,10,In-office
E6684,27,Male,Engineering,2,4191,13,1,16/06/2023,6,In-office
E9418,31,Non-binary,Marketing,3,6111,14,2,6/11/2024,7,Remote
E2063,59,Non-binary,Marketing,1,6791,18,4,11/08/2020,12,Remote
E8924,33,Non-binary,Sales,3,8299,11,2,14/04/2023,6,Remote
E9800,23,Non-binary,Engineering,2,7513,10,4,19/06/2020,13,In-office
E5291,35,Female,HR,1,4360,16,2,5/10/2021,2,In-office
E1210,53,Non-binary,Marketing,2,7923,7,3,11/06/2024,12,In-office
E4387,44,Non-binary,HR,3,4835,8,3,28/08/2021,15,Remote
E2481,30,Male,Sales,1,7602,9,5,5/01/2024,7,Hybrid
E7179,27,Male,HR,2,5260,3,4,10/04/2020,1,Hybrid
E7506,47,Female,Marketing,1,7417,18,3,9/11/2023,7,In-office
E9458,25,Non-binary,HR,3,5186,5,5,21/05/2021,8,Hybrid
E7798,34,Non-binary,Sales,1,8492,8,5,23/01/2024,7,In-office
E7210,47,Female,Engineering,3,5933,1,2,20/09/2024,2,In-office
E6243,55,Female,Sales,1,4635,10,2,3/02/2023,15,In-office
E2536,29,Female,Marketing,2,7465,9,5,6/08/2024,15,Hybrid
E2841,23,Male,Sales,1,3774,18,2,10/07/2023,2,In-office
E2413,31,Female,Engineering,2,3355,4,5,25/02/2020,8,Hybrid
E8218,27,Non-binary,HR,2,5172,11,3,9/07/2022,10,Remote
E7177,56,Non-binary,Engineering,3,6578,1,1,16/07/2024,15,Remote
E2153,25,Male,HR,3,5031,16,1,5/03/2021,13,Remote
E1398,57,Male,Sales,2,4687,20,2,18/01/2021,8,In-office
E9503,32,Non-binary,Engineering,3,7726,16,5,21/10/2023,11,Remote
E9224,24,Non-binary,Sales,2,3355,20,1,3/12/2024,2,Hybrid
E4929,27,Male,HR,3,8193,1,3,27/07/2022,2,In-office
E9927,46,Female,Engineering,2,6241,16,4,22/07/2022,11,Hybrid
E7644,30,Male,HR,3,8288,10,2,30/10/2021,12,Hybrid
E1446,27,Male,HR,2,5835,6,1,11/08/2021,11,Hybrid
E6510,22,Female,HR,1,8618,12,1,7/01/2022,11,Remote
E3469,56,Non-binary,Engineering,3,3927,20,1,23/02/2023,14,Hybrid
E9791,44,Female,Marketing,1,5356,1,5,9/06/2024,7,Remote
E6018,53,Male,Engineering,3,3064,3,5,20/06/2023,10,Remote
E8645,50,Male,HR,1,4239,18,1,12/07/2020,0,Remote
E3444,56,Non-binary,Marketing,1,8488,20,3,2/04/2021,7,In-office
E8103,30,Female,Sales,2,5616,18,5,16/11/2021,2,In-office
E8972,26,Female,Engineering,3,8061,19,5,29/05/2022,7,In-office
E3908,25,Non-binary,Sales,3,7097,9,1,19/02/2020,2,Remote
E4873,49,Non-binary,Marketing,3,3594,10,2,8/09/2021,6,In-office
E7596,30,Non-binary,Engineering,3,3274,7,2,4/04/2024,1,In-office
E6736,59,Non-binary,Engineering,3,5290,12,2,14/01/2021,7,In-office
E5883,42,Female,Engineering,2,8037,11,3,20/11/2023,0,In-office
E2103,58,Male,Sales,3,7555,10,1,23/01/2022,6,Remote
E6135,51,Male,Marketing,2,3241,13,3,16/06/2020,11,In-office
E9771,54,Non-binary,Engineering,3,3165,9,2,12/01/2020,1,Hybrid
E6456,26,Female,Sales,1,8731,19,2,29/05/2022,5,Remote
E2489,34,Non-binary,Marketing,3,5785,12,5,30/07/2024,15,Remote
E5801,45,Male,Sales,1,6822,10,2,17/09/2024,15,Remote
E7891,55,Male,Sales,2,5216,5,1,19/09/2024,8,Remote
E3549,53,Male,Marketing,3,5602,10,2,14/12/2023,2,Remote
E4688,55,Non-binary,Marketing,1,5687,16,1,31/10/2023,11,Hybrid
E3138,40,Female,HR,2,6434,1,2,17/02/2023,3,Hybrid
E7999,54,Male,Sales,2,6035,14,4,29/03/2021,0,Remote
E8736,42,Female,Engineering,3,3455,17,5,6/01/2022,11,Hybrid
E8135,33,Male,Sales,2,3723,15,4,4/05/2020,5,In-office
E5530,47,Non-binary,HR,1,7062,17,4,12/05/2020,10,In-office
E6367,60,Male,Sales,2,3054,9,2,31/07/2023,15,Remote
E5446,44,Female,Sales,3,3313,11,5,3/05/2020,3,Hybrid
E9233,29,Male,HR,3,4990,13,3,16/07/2020,11,Remote
E2340,53,Male,HR,2,3777,10,5,7/05/2021,15,Remote
E5127,23,Non-binary,Marketing,3,5823,8,3,20/12/2020,0,Remote
E1391,26,Non-binary,HR,3,7383,18,1,21/01/2025,14,Hybrid
E5397,27,Non-binary,Sales,2,4106,20,4,4/05/2022,1,Hybrid
E2766,46,Male,Sales,1,5283,16,3,23/09/2020,8,Remote
E4112,29,Male,HR,1,3008,12,4,3/01/2023,9,In-office
E7576,36,Female,HR,3,6562,5,2,18/12/2022,5,In-office
E3577,26,Female,HR,3,8042,17,1,16/05/2021,15,Hybrid
E5201,35,Female,Sales,1,6615,7,3,7/08/2024,9,Remote
E8608,43,Non-binary,Marketing,2,3892,12,3,6/04/2023,11,Remote
E6151,48,Non-binary,HR,1,6925,9,5,27/07/2023,13,In-office
E8395,24,Male,HR,3,8661,19,3,3/01/2025,0,In-office
E5577,23,Female,Marketing,3,6350,4,4,23/02/2021,0,In-office
E1575,44,Non-binary,Marketing,2,4101,7,2,30/06/2021,3,In-office
E5555,38,Male,HR,3,7385,4,1,28/02/2022,13,In-office
E4803,48,Male,Sales,2,8202,3,2,22/12/2024,10,Hybrid
E6095,59,Non-binary,HR,1,5236,1,2,4/09/2024,1,Hybrid
E3408,28,Non-binary,Marketing,2,6589,6,5,16/08/2024,12,Hybrid
E3667,53,Non-binary,HR,1,3350,12,1,24/10/2022,2,In-office
E6978,34,Non-binary,Engineering,2,8059,14,5,13/07/2022,0,Hybrid
E4689,44,Non-binary,HR,3,3678,19,1,14/01/2022,5,In-office
E3910,39,Non-binary,Marketing,3,5187,12,2,30/09/2021,13,Remote
E6738,55,Male,Sales,3,5521,4,2,17/08/2022,12,In-office
E2969,54,Male,HR,3,7990,17,1,5/10/2021,9,Hybrid
E5078,56,Male,Marketing,3,5767,15,3,21/08/2021,10,Remote
E9312,44,Non-binary,HR,2,6759,19,5,16/11/2023,12,In-office
E2662,38,Female,HR,1,7098,16,5,22/05/2021,0,In-office
E5314,40,Female,Marketing,2,5685,5,5,4/05/2024,6,Hybrid
E6198,52,Non-binary,Marketing,3,8420,3,4,23/10/2024,9,Remote
E2396,58,Male,Marketing,2,5608,13,3,8/05/2022,15,Remote
E5393,24,Non-binary,Marketing,1,6754,3,1,19/10/2024,15,Hybrid
E3497,32,Non-binary,Engineering,2,6974,1,3,17/01/2022,5,Hybrid
E3026,38,Non-binary,Engineering,2,6709,7,3,15/08/2024,8,Hybrid
E5319,47,Non-binary,Marketing,1,4787,13,1,21/10/2021,8,Remote
E6303,23,Male,HR,1,4570,16,4,6/09/2021,10,Hybrid
E7514,59,Female,Sales,2,6992,14,1,7/10/2022,4,Hybrid
E4588,59,Female,Engineering,3,3888,14,5,5/02/2024,15,Remote
E5679,23,Male,Marketing,2,6399,9,5,18/10/2022,14,Hybrid
E4249,31,Male,HR,2,6876,5,4,29/03/2021,4,Remote
E8191,25,Non-binary,HR,3,5547,6,2,31/07/2021,5,In-office
E4418,35,Non-binary,Marketing,3,7824,8,4,3/10/2024,9,In-office
E8655,26,Male,Marketing,2,6043,8,1,18/11/2022,15,Hybrid
E9615,52,Non-binary,HR,1,8957,10,2,16/01/2025,12,Hybrid
E7037,44,Female,Sales,2,5680,16,4,5/11/2022,4,Remote
E3129,55,Male,Sales,1,4923,20,2,2/03/2023,10,In-office
E3347,28,Male,Engineering,2,5974,15,4,21/10/2023,11,In-office
E4456,30,Non-binary,Marketing,3,5283,1,2,5/12/2022,11,In-office
E2391,51,Male,Sales,1,8842,16,4,24/04/2021,6,Remote
E5268,30,Female,HR,2,5960,18,5,10/11/2024,11,In-office
E8944,38,Female,Sales,2,8995,13,2,11/06/2021,8,Hybrid
E5362,48,Non-binary,Sales,3,6771,6,1,30/07/2023,15,In-office
E2292,25,Male,Marketing,1,6687,19,3,15/01/2021,6,In-office
E4995,54,Male,HR,3,5345,2,2,15/01/2025,8,In-office
E3318,24,Female,HR,1,8239,18,3,25/06/2021,10,In-office
E2274,39,Male,Sales,1,7926,9,5,3/09/2020,0,In-office
E5578,49,Female,Sales,1,3353,8,5,28/03/2020,14,Remote
E1188,49,Female,Engineering,3,7362,17,4,19/02/2021,11,In-office
E5161,38,Non-binary,Engineering,3,5226,9,4,3/12/2023,13,Hybrid
E8222,57,Non-binary,Marketing,1,6156,3,4,2/01/2023,2,Remote
E3823,34,Non-binary,Marketing,2,5397,7,2,4/03/2022,3,In-office
E9250,49,Non-binary,Sales,3,6243,3,4,28/11/2020,5,Hybrid
E2950,59,Male,Sales,2,6617,12,3,14/01/2021,4,In-office
E5057,53,Non-binary,Sales,2,4778,8,2,30/05/2021,7,Remote
E2017,30,Non-binary,Engineering,2,4879,7,3,28/09/2020,0,Hybrid
E5922,28,Non-binary,Sales,2,7756,9,2,29/12/2020,9,In-office
E3918,52,Non-binary,Marketing,3,6003,14,5,24/06/2024,14,Hybrid
E2683,24,Male,Sales,1,5036,17,3,18/01/2024,5,Hybrid
E5019,30,Male,Sales,3,4732,13,4,23/06/2021,0,In-office
E2213,24,Male,Sales,1,8931,17,4,21/04/2020,8,In-office
E4392,59,Male,HR,3,5157,16,2,17/02/2021,3,In-office
E9393,23,Female,Engineering,2,7771,7,4,14/08/2020,4,In-office
E4298,42,Non-binary,Engineering,2,6970,19,3,17/08/2021,8,Hybrid
E7473,60,Female,HR,1,7776,13,3,27/04/2023,1,Remote
E4231,52,Male,Sales,1,5723,6,5,2/12/2021,11,Hybrid
E3026,25,Non-binary,Marketing,3,6533,2,5,27/11/2020,13,Hybrid
E4382,33,Male,Marketing,2,8617,8,3,3/02/2020,7,In-office
E5017,32,Non-binary,HR,2,5226,19,3,5/09/2020,5,In-office
E3849,42,Male,HR,3,6524,11,3,6/03/2021,0,Hybrid
E4044,45,Non-binary,Engineering,3,6907,19,5,23/01/2022,9,Remote
E7038,37,Female,HR,3,7007,5,5,21/06/2024,0,Remote
E4509,24,Non-binary,HR,1,7665,18,2,18/01/2022,13,Hybrid
E1862,31,Non-binary,Engineering,2,8282,20,4,5/06/2023,11,Remote
E2974,36,Female,HR,1,3980,11,5,5/12/2021,5,In-office
E4350,32,Female,HR,2,6234,9,2,19/04/2021,10,In-office
E2296,47,Male,Engineering,1,7176,20,2,25/09/2024,0,Hybrid
E5721,42,Female,Engineering,1,4240,8,4,5/12/2022,14,Remote
E6664,58,Female,Engineering,1,8016,20,3,14/02/2022,13,Remote
E2091,43,Non-binary,Engineering,2,4854,17,2,13/12/2021,13,Hybrid
E2972,30,Non-binary,Sales,3,7752,2,4,7/01/2020,14,Remote
E7296,33,Non-binary,Marketing,2,4359,2,2,16/06/2020,6,Remote
E5872,38,Male,Sales,2,8779,17,3,24/05/2024,9,Remote
E1925,59,Non-binary,Engineering,1,8197,5,5,14/05/2024,12,In-office
E8773,22,Female,Marketing,3,8862,18,4,13/11/2021,8,Hybrid
E8520,45,Female,Sales,1,3905,13,5,6/03/2020,5,Remote
E4057,29,Female,Sales,1,3581,2,2,30/05/2024,10,Remote
E7695,32,Non-binary,Marketing,2,3652,3,1,26/04/2022,11,In-office
E4170,37,Male,Marketing,2,8947,3,1,29/09/2022,8,Remote
E9097,50,Non-binary,Marketing,2,8402,13,5,15/01/2023,2,In-office
E3093,58,Non-binary,Marketing,1,8377,11,1,13/03/2022,0,Remote
E9586,29,Male,HR,2,3016,4,2,21/07/2023,6,Remote
E7425,53,Non-binary,Marketing,2,7136,8,2,24/02/2022,7,Hybrid
E2086,26,Female,Marketing,1,3599,15,4,27/08/2024,2,Remote
E3369,31,Non-binary,Engineering,3,5530,6,2,20/10/2022,10,In-office
E5052,42,Female,Engineering,3,3916,20,2,17/06/2024,12,Remote
E3506,51,Female,Marketing,3,4682,1,1,21/09/2020,2,Remote
E2179,27,Female,Engineering,1,5434,10,2,4/11/2022,2,Hybrid
E1712,22,Non-binary,Marketing,3,5287,10,2,30/03/2022,14,In-office
E4815,48,Male,HR,3,3112,8,5,31/12/2020,1,Remote
E7210,43,Female,Engineering,1,4971,6,1,9/06/2022,7,Hybrid
E9010,60,Non-binary,Marketing,1,5056,13,3,6/07/2020,5,Hybrid
E7342,30,Non-binary,Engineering,3,3691,9,4,22/10/2023,6,In-office
E4418,58,Male,Marketing,2,6036,18,4,27/12/2020,15,In-office
E8753,55,Male,Sales,2,6785,18,5,7/02/2022,2,In-office
E1543,39,Non-binary,Sales,1,7142,11,5,24/08/2021,3,In-office
E5982,39,Male,Sales,3,5930,19,3,6/08/2023,10,In-office
E1366,59,Male,Marketing,1,8295,9,3,29/12/2020,8,Hybrid
E8558,53,Non-binary,Engineering,3,3124,9,1,17/05/2024,8,In-office
E9267,55,Male,Sales,1,8446,17,5,5/09/2021,0,Remote
E2840,47,Female,Marketing,1,3359,7,4,17/08/2024,10,Remote
E9165,49,Non-binary,Engineering,1,3573,8,5,9/08/2024,5,In-office
E8624,25,Male,Engineering,3,4113,3,2,10/04/2020,3,Remote
E4339,24,Non-binary,Engineering,3,7461,13,5,20/07/2023,12,In-office
E9135,40,Non-binary,Sales,3,6006,14,3,31/07/2024,15,Remote
E7077,24,Male,HR,2,6392,6,1,2/03/2024,11,In-office
E1834,50,Non-binary,HR,2,4045,19,1,6/05/2024,14,In-office
E1947,36,Male,Engineering,2,5956,8,3,3/08/2020,3,Remote
E3081,38,Female,HR,1,7582,15,1,25/12/2020,3,Remote
E9231,35,Male,Marketing,3,3104,3,4,19/02/2024,11,In-office
E9421,51,Non-binary,HR,2,3621,8,5,2/08/2023,3,Hybrid
E2975,53,Male,Engineering,1,6774,19,3,28/10/2020,10,Remote
E2179,23,Female,Engineering,2,3341,10,2,30/10/2020,12,In-office
E9632,29,Female,HR,2,8199,15,5,27/03/2024,14,Hybrid
E3109,31,Female,Marketing,2,3754,20,4,18/09/2022,6,Hybrid
E4367,28,Male,HR,1,3328,7,3,30/06/2023,9,Remote
E6506,22,Non-binary,HR,3,6943,20,3,13/07/2020,7,Hybrid
E5512,28,Female,Engineering,2,8321,13,1,28/10/2022,14,Hybrid
